BEGIN
SET
         team         | h_div |  site   |                  opp                  | v_div | t_score | o_score 
 St. Marys (MD)       |     3 | home    | %                                    +|     3 |    6.57 |   14.18
                      |       |         |                   Salisbury           |       |         | 
 Stony Brook          |     1 | home    | %                                    +|     1 |   11.47 |   10.20
                      |       |         |                   Albany (NY)         |       |         | 
 St. Rose             |     2 | home    | %                                    +|     2 |    7.54 |    8.87
                      |       |         |                   Southern N.H.       |       |         | 
 St. Vincent          |     3 | home    | %                                    +|     3 |    9.95 |    6.07
                      |       |         |                   Hood                |       |         | 
 Syracuse             |     1 | home    | %                                    +|     1 |   14.04 |    9.16
                      |       |         |                   Johns Hopkins       |       |         | 
 Tampa                |     2 | home    | %                                    +|     2 |   10.75 |    9.77
                      |       |         |                   Mercyhurst          |       |         | 
 Towson               |     1 | home    | %                                    +|     1 |    9.72 |    6.94
                      |       |         |                   Hobart              |       |         | 
 Trinity (CT)         |     3 | home    | %                                    +|     3 |    7.96 |    9.36
                      |       |         |                   Bates               |       |         | 
 UMBC                 |     1 | home    | %                                    +|     1 |    8.67 |    8.21
                      |       |         |                   Binghamton          |       |         | 
 U New England        |     3 | home    | %                                    +|     3 |   10.47 |    8.50
                      |       |         |                   MIT                 |       |         | 
 Utica                |     3 | home    | %                                    +|     3 |    8.59 |   10.77
                      |       |         |                   SUNY Potsdam        |       |         | 
 Villanova            |     1 | home    | %                                    +|     1 |    6.20 |    7.07
                      |       |         |                   Maryland            |       |         | 
 Virginia             |     1 | home    | %                                    +|     1 |   11.76 |   13.14
                      |       |         |                   Notre Dame          |       |         | 
 VMI                  |     1 | home    | %                                    +|     1 |    8.32 |   18.23
                      |       |         |                   Jacksonville        |       |         | 
 Wash. & Lee          |     3 | home    | %                                    +|     3 |   14.66 |    5.72
                      |       |         |                   Randolph            |       |         | 
 Western Conn. St.    |     3 | home    | %                                    +|     3 |    7.94 |   15.63
                      |       |         |                   Plattsburgh St.     |       |         | 
 Western New Eng.     |     3 | home    | %                                    +|     3 |   10.75 |   13.14
                      |       |         |                   SUNY Cortland       |       |         | 
 Widener              |     3 | home    | %                                    +|     3 |    4.97 |    8.77
                      |       |         |                   Dickinson           |       |         | 
 Wilmington (OH)      |     3 | home    | %                                    +|     3 |    8.94 |    9.28
                      |       |         |                   Trine               |       |         | 
 Yale                 |     1 | home    | %                                    +|     1 |   12.93 |   12.44
                      |       |         |                   Cornell             |       |         | 
(117 rows)

COMMIT
