BEGIN
SET
    date    |  site   |        home         | div | score |         away         | div | score 
 2016-03-30 | home    | Elizabethtown       | D3  | 14.08 | Misericordia         | D3  |  9.48
 2016-04-02 | home    | Elmira              | D3  | 15.08 | Alfred St.           | D3  |  6.08
 2016-03-30 | home    | Emerson             | D3  |  8.88 | Wheelock             | D3  |  7.08
 2016-04-02 | home    | Emerson             | D3  |  6.44 | Mass. Maritime       | D3  | 12.13
 2016-03-29 | home    | Emmanuel (GA)       | D2  |  8.95 | Shorter              | D2  | 12.87
 2016-04-02 | home    | Emmanuel (GA)       | D2  |  7.22 | Pfeiffer             | D2  | 14.47
 2016-04-02 | home    | Emmanuel (MA)       | D3  | 10.42 | Mount Ida            | D3  | 10.07
 2016-03-30 | home    | Endicott            | D3  | 22.00 | Gordon               | D3  |  6.62
 2016-03-29 | home    | FDU-Florham         | D3  |  6.81 | Drew                 | D3  |  6.12
 2016-03-30 | home    | Ferrum              | D3  | 12.37 | Greensboro           | D3  |  9.06
 2016-04-02 | home    | Ferrum              | D3  |  7.57 | Lebanon Valley       | D3  |  8.47
 2016-04-01 | home    | Florida Tech        | D2  |  8.71 | Saint Leo            | D2  | 10.85
 2016-04-02 | home    | Franciscan          | D3  |  5.69 | Capital              | D3  | 21.51
 2016-04-02 | home    | Franklin Pierce     | D2  |  6.11 | Le Moyne             | D2  | 16.37
 2016-03-30 | home    | Frank. & Marsh.     | D3  | 10.70 | Ursinus              | D3  | 11.07
 2016-04-02 | home    | Frostburg St.       | D3  |  7.07 | York (PA)            | D3  |  8.26
 2016-04-02 | home    | Furman              | D1  | 10.88 | Jacksonville         | D1  |  8.57
 2016-04-02 | home    | Georgetown          | D1  |  8.39 | Denver               | D1  | 13.92
 2016-04-02 | home    | Gettysburg          | D3  | 14.81 | Muhlenberg           | D3  |  5.61
 2016-04-02 | home    | Gordon              | D3  |  6.75 | Nichols              | D3  | 11.80
 2016-04-02 | home    | Goucher             | D3  |  7.95 | Scranton             | D3  |  7.19
 2016-04-02 | home    | Greensboro          | D3  | 12.59 | Piedmont             | D3  |  5.44
 2016-04-02 | home    | Guilford            | D3  |  5.80 | Wash. & Lee          | D3  |  8.53
 2016-04-02 | home    | Hamilton            | D3  |  9.76 | Bates                | D3  | 12.14
 2016-04-02 | home    | Hampden-Sydney      | D3  |  9.23 | Roanoke              | D3  | 11.70
 2016-04-02 | home    | Hartford            | D1  | 12.93 | Binghamton           | D1  |  9.01
 2016-03-29 | home    | Hartford            | D1  | 12.81 | Holy Cross           | D1  |  9.38
 2016-03-30 | home    | Hartwick            | D3  |  6.65 | SUNY Oneonta         | D3  | 10.60
 2016-04-02 | home    | Hendrix             | D3  |  7.57 | Birmingham-So.       | D3  |  7.69
 2016-04-03 | home    | High Point          | D1  | 12.06 | Mercer               | D1  |  8.15
 2016-04-02 | home    | Hiram               | D3  |  3.90 | Ohio Wesleyan        | D3  | 27.03
 2016-04-02 | home    | Hofstra             | D1  |  9.63 | Fairfield            | D1  |  8.45
 2016-03-30 | home    | Houghton            | D3  |  7.84 | Elmira               | D3  | 12.06
 2016-04-02 | home    | Houghton            | D3  |  6.72 | Utica                | D3  | 15.69
 2016-04-02 | home    | Huntingdon          | D3  | 10.68 | Methodist            | D3  | 10.30
 2016-03-30 | home    | Immaculata          | D3  |  8.46 | Gwynedd Mercy        | D3  |  9.61
 2016-04-02 | home    | Ithaca              | D3  | 13.21 | Stevens              | D3  |  7.23
 2016-03-30 | home    | Ithaca              | D3  | 14.91 | SUNY Cortland        | D3  |  6.53
 2016-04-02 | home    | John Carroll        | D3  | 14.06 | Ill. Wesleyan        | D3  | 14.06
 2016-04-02 | home    | Johnson St.         | D3  |  4.83 | Husson               | D3  |  7.88
 2016-04-02 | home    | Kean                | D3  |  7.90 | SUNY Maritime        | D3  |  7.41
 2016-04-02 | home    | Kenyon              | D3  | 22.09 | Wabash               | D3  |  6.44
 2016-03-30 | home    | Keystone            | D3  |  5.31 | Marywood             | D3  | 13.25
 2016-04-02 | home    | Lafayette           | D1  |  9.18 | UMBC                 | D1  |  9.86
 2016-04-02 | home    | Lees-McRae          | D2  |  6.12 | Young Harris         | D2  | 16.52
 2016-03-29 | home    | Lehigh              | D1  | 10.51 | Stony Brook          | D1  | 11.93
 2016-04-02 | home    | Limestone           | D2  | 15.54 | NYIT                 | D2  |  9.21
 2016-04-02 | home    | Lincoln Memorial    | D2  | 14.06 | Brevard              | D2  |  9.59
 2016-03-30 | home    | LIU Post            | D2  | 13.84 | Post                 | D2  |  8.06
 2016-04-02 | home    | Lycoming            | D3  |  7.10 | Arcadia              | D3  |  8.04
 2016-04-02 | home    | Lynchburg           | D3  | 11.14 | Stevenson            | D3  |  9.77
 2016-04-01 | home    | Lynchburg           | D3  | 17.18 | Shenandoah           | D3  |  6.06
 2016-03-30 | home    | Lyndon St.          | D3  |  6.19 | New England Col.     | D3  | 16.48
 2016-04-02 | home    | Lyndon St.          | D3  |  8.90 | Maine Maritime       | D3  | 12.60
 2016-03-30 | home    | Manhattanville      | D3  |  5.68 | SUNY Maritime        | D3  | 10.20
 2016-04-02 | home    | Marist              | D1  |  9.40 | Quinnipiac           | D1  |  7.49
 2016-04-02 | home    | Marquette           | D1  |  9.06 | Villanova            | D1  | 12.19
 2016-04-02 | home    | Mars Hill           | D2  |  9.78 | Coker                | D2  |  9.37
 2016-04-02 | home    | Marymount (VA)      | D3  |  5.63 | Salisbury            | D3  | 18.63
 2016-04-02 | home    | Mary Washington     | D3  | 14.12 | Wesley               | D3  |  6.86
 2016-04-02 | home    | Marywood            | D3  |  9.21 | Gwynedd Mercy        | D3  |  7.45
 2016-04-02 | home    | McDaniel            | D3  |  5.26 | Haverford            | D3  |  7.94
 2016-03-30 | home    | Medaille            | D3  |  5.16 | Keuka                | D3  | 18.85
 2016-04-02 | home    | Me.-Farmington      | D3  |  3.67 | Castleton            | D3  | 19.77
 2016-03-29 | home    | Mercy               | D2  | 14.07 | St. Thomas Aquinas   | D2  |  4.07
 2016-04-02 | home    | Mercyhurst          | D2  |  9.88 | Lindenwood (MO)      | D2  |  7.76
 2016-04-02 | home    | Merrimack           | D2  | 14.37 | Adelphi              | D2  | 11.82
 2016-03-30 | home    | Messiah             | D3  |  8.21 | Susquehanna          | D3  |  8.32
 2016-03-29 | home    | Methodist           | D3  |  8.84 | Guilford             | D3  | 10.27
 2016-04-02 | home    | Michigan            | D1  |  7.29 | Maryland             | D1  | 12.82
 2016-03-30 | neutral | Middlebury          | D3  |  8.37 | RIT                  | D3  | 12.21
 2016-04-02 | home    | Middlebury          | D3  | 10.50 | Amherst              | D3  |  9.72
 2016-04-02 | home    | Misericordia        | D3  | 12.59 | Swarthmore           | D3  | 11.24
 2016-03-30 | home    | Montclair St.       | D3  |  9.88 | Stevens              | D3  | 12.38
 2016-03-30 | home    | Moravian            | D3  |  9.10 | King's (PA)          | D3  | 10.08
 2016-04-02 | home    | Morrisville St.     | D3  | 10.76 | Bryn Athyn           | D3  |  8.33
 2016-04-02 | home    | Mount Olive         | D2  |  9.70 | Belmont Abbey        | D2  |  9.03
 2016-03-29 | home    | Mount Union         | D3  | 10.49 | Oberlin              | D3  | 11.54
 2016-03-28 | home    | MSOE                | D3  |  9.63 | Dallas               | D3  |  5.12
 2016-04-01 | home    | Mt. St. Mary (NY)   | D3  | 10.81 | Farmingdale St.      | D3  |  8.15
 2016-03-29 | home    | Mt. St. Mary's      | D1  | 11.15 | UMBC                 | D1  |  8.16
 2016-03-30 | home    | Mt. St. Vincent     | D3  | 10.14 | Albertus Magnus      | D3  | 14.22
 2016-04-02 | home    | Navy                | D1  | 12.82 | Holy Cross           | D1  |  6.35
 2016-04-02 | home    | Nazareth            | D3  | 17.79 | St. John Fisher      | D3  |  8.70
 2016-04-02 | home    | NJIT                | D1  |  7.91 | Manhattan            | D1  |  7.49
 2016-03-30 | home    | North Greenville    | D2  | 13.87 | Lees-McRae           | D2  |  6.06
 2016-03-31 | home    | Norwich             | D3  |  9.29 | New England Col.     | D3  | 10.06
 2016-04-02 | home    | Oglethorpe          | D3  |  3.64 | Centre               | D3  | 20.29
 2016-04-02 | home    | Ohio Northern       | D3  | 17.85 | La Roche             | D3  |  6.89
 2016-03-30 | home    | Ohio Northern       | D3  | 24.45 | Defiance             | D3  |  2.53
 2016-04-03 | home    | Ohio St.            | D1  | 10.36 | Penn St.             | D1  | 11.59
 2016-04-02 | home    | Ohio Valley         | D2  |  9.35 | Wheeling Jesuit      | D2  | 17.95
 2016-04-02 | home    | Olivet              | D3  | 14.28 | Muskingum            | D3  |  6.91
 2016-03-30 | home    | Oswego St.          | D3  |  9.44 | Utica                | D3  |  7.74
 2016-03-30 | home    | Otterbein           | D3  |  8.70 | Wooster              | D3  | 12.29
 2016-03-29 | home    | Pace                | D2  | 20.06 | American Int'l       | D2  |  6.17
 2016-03-29 | home    | Penn                | D1  |  8.13 | Maryland             | D1  |  9.74
 2016-03-30 | home    | Plattsburgh St.     | D3  |  8.34 | Rensselaer           | D3  | 11.62
 2016-04-02 | home    | Post                | D2  |  9.90 | Molloy               | D2  | 12.74
 2016-04-02 | home    | Providence          | D1  | 12.63 | St. John's (NY)      | D1  |  7.35
 2016-04-02 | home    | Queens (NC)         | D2  | 12.60 | Tusculum             | D2  |  8.09
 2016-04-02 | home    | Regis (MA)          | D3  |  8.71 | Johnson & Wales (RI) | D3  |  9.42
 2016-04-02 | home    | Rensselaer          | D3  | 14.18 | Vassar               | D3  |  7.00
 2016-04-02 | home    | Rhodes              | D3  | 15.77 | Millsaps             | D3  |  7.06
 2016-04-02 | home    | Richmond            | D1  |  8.22 | Virginia             | D1  |  8.80
 2016-03-30 | home    | Rivier              | D3  | 11.40 | Mass. Maritime       | D3  |  7.88
 2016-04-02 | home    | Rivier              | D3  | 10.32 | Lasell               | D3  |  9.34
 2016-03-30 | home    | Roanoke             | D3  | 12.91 | Randolph             | D3  |  6.51
 2016-04-02 | home    | Robert Morris       | D1  | 11.16 | Bryant               | D1  | 12.55
 2016-04-02 | home    | Roberts Wesleyan    | D2  |  8.58 | Mercy                | D2  | 12.59
 2016-03-31 | home    | Roberts Wesleyan    | D2  |  7.77 | Lindenwood (MO)      | D2  | 14.37
 2016-04-03 | neutral | Rockhurst           | D2  |  9.02 | Westminster (UT)     | D2  | 11.65
 2016-04-02 | home    | Roger Williams      | D3  | 11.93 | U New England        | D3  |  7.45
 2016-04-02 | home    | Rollins             | D2  |  8.55 | Lynn                 | D2  |  9.05
 2016-04-02 | home    | Rosemont            | D3  |  8.47 | Immaculata           | D3  | 11.52
 2016-04-02 | home    | Rutgers             | D1  | 11.12 | Johns Hopkins        | D1  | 12.22
 2016-04-02 | home    | Sacred Heart        | D1  |  8.87 | Mt. St. Mary's       | D1  |  9.80
 2016-04-02 | home    | Saint Michael's     | D2  |  8.61 | Bentley              | D2  |  9.03
 2016-03-29 | home    | Saint Rose          | D2  |  4.92 | Le Moyne             | D2  | 12.20
 2016-03-30 | home    | Saint Vincent       | D3  |  5.84 | Baldwin Wallace      | D3  | 12.96
 2016-03-30 | home    | Salem St.           | D3  |  9.67 | Regis (MA)           | D3  |  8.35
 2016-03-30 | home    | Salisbury           | D3  | 26.89 | Wesley               | D3  |  5.05
 2016-03-31 | home    | Salve Regina        | D3  |  8.09 | Western New Eng.     | D3  | 13.12
 2016-03-30 | home    | Scranton            | D3  |  8.33 | Kean                 | D3  |  6.52
 2016-04-02 | home    | Seton Hill          | D2  | 12.22 | Lake Erie            | D2  |  9.25
 2016-04-02 | home    | Sewanee             | D3  | 10.63 | Berry                | D3  |  6.10
 2016-04-02 | home    | Shorter             | D2  | 10.21 | North Greenville     | D2  |  9.64
 2016-04-02 | home    | Skidmore            | D3  | 12.96 | Bard                 | D3  |  5.39
 2016-04-02 | home    | Southern N.H.       | D2  |  9.63 | Saint Rose           | D2  |  9.09
 2016-03-29 | home    | Southern N.H.       | D2  | 10.53 | Bentley              | D2  | 10.76
 2016-04-02 | home    | Southern Va.        | D3  | 10.60 | Chris. Newport       | D3  | 16.43
 2016-03-30 | home    | Southern Va.        | D3  | 14.07 | Va. Wesleyan         | D3  | 15.66
 2016-04-03 | home    | Southwestern (TX)   | D3  |  8.28 | Whittier             | D3  | 13.29
 2016-03-29 | home    | Springfield         | D3  |  8.90 | Amherst              | D3  | 12.00
 2016-04-02 | home    | St. Anselm          | D2  | 15.76 | Pace                 | D2  | 11.16
 2016-03-29 | home    | St. Anselm          | D2  | 16.55 | Franklin Pierce      | D2  |  9.19
 2016-03-29 | home    | St. Lawrence        | D3  | 16.25 | SUNY Geneseo         | D3  |  5.61
 2016-04-02 | home    | St. Lawrence        | D3  | 10.36 | RIT                  | D3  |  9.07
 2016-04-02 | home    | Stockton            | D3  | 24.40 | Mt. St. Vincent      | D3  |  5.32
 2016-03-30 | home    | Stockton            | D3  |  7.92 | Eastern              | D3  |  7.77
 2016-04-03 | home    | Stony Brook         | D1  | 16.13 | Vermont              | D1  |  8.82
 2016-04-02 | home    | St. Thomas Aquinas  | D2  |  8.29 | Georgian Court       | D2  |  7.59
 2016-04-02 | home    | SUNY Geneseo        | D3  | 10.92 | Oswego St.           | D3  |  7.56
 2016-04-02 | home    | SUNY Poly           | D3  | 12.24 | Medaille             | D3  |  7.85
 2016-04-02 | home    | SUNY Potsdam        | D3  | 10.84 | SUNY Oneonta         | D3  | 10.94
 2016-03-30 | home    | SUNY Potsdam        | D3  | 11.52 | Clarkson             | D3  |  9.97
 2016-03-30 | home    | Swarthmore          | D3  | 11.47 | Muhlenberg           | D3  |  8.26
 2016-04-02 | home    | Syracuse            | D1  |  9.76 | Notre Dame           | D1  |  7.87
 2016-04-01 | home    | Tampa               | D2  | 14.15 | Fla. Southern        | D2  |  8.80
 2016-04-02 | home    | Thiel               | D3  |  8.91 | Transylvania         | D3  |  6.82
 2016-03-30 | home    | Thomas (ME)         | D3  |  7.36 | Maine Maritime       | D3  | 10.92
 2016-04-02 | home    | Thomas (ME)         | D3  |  5.11 | New England Col.     | D3  | 14.27
 2016-04-02 | home    | Towson              | D1  | 10.26 | Drexel               | D1  |  7.66
 2016-04-02 | home    | Tufts               | D3  | 10.08 | Connecticut Col.     | D3  |  8.82
 2016-03-30 | home    | Tusculum            | D2  | 11.54 | Lincoln Memorial     | D2  |  8.17
 2016-03-29 | home    | UIndy               | D2  |  9.19 | Lindenwood (MO)      | D2  | 11.50
 2016-04-02 | home    | UMass Boston        | D3  |  9.13 | Keene St.            | D3  | 15.02
