year	year_id	team_id	team_name	position	player_id	player_name	player_url	class_year	gp	gs	g	gs2	goals	assists	points	shots	shot_pct	sog	sog_pct	gwg	man-up_g	man-down_g	gb	to	ct	fo_won	fos_taken	fo_pct	pen	pen_time	ggp	ggs	g_min	goals_allowed	gaa	saves	save_pct	rc	yc	clears	att	clear_pct
2016	12380	4	Adrian	28	1777567	Schaeffer, Eddie	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1777567	Sr	13	11	13	11	1		1	11	0.091	8	0.727				6	10	2				3	120												
2016	12380	4	Adrian	19	1776748	Polischuk, Justin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1776748	Jr	11	1	11	1	3	1	4	15	0.200	6	0.400				11	18	3				7	300												
2016	12380	4	Adrian	3	1656297	Clark, Callum	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1656297	So	11	11	11	11			0	1							28	13	7				32	2,100												
2016	12380	4	Adrian	13	1777564	Fischl, Zac	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1777564	Sr	10	1	10	1			0	2		2	1.000				9	3	2				4	210												
2016	12380	4	Adrian	25	1781758	Guerra, Javier	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1781758	Sr	9	6	9	6			0	1							11	16	5				2	120												
2016	12380	4	Adrian	24	1776749	Vanstrate, Blake	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1776749	Jr	9	4	9	4			0								3	5	1				5	270												
2016	12380	4	Adrian	14	1777565	Neal, Brandon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1777565	Sr	8	1	8	1			0								5	7	6				3	240												
2016	12380	4	Adrian	38	1776751	Wizinsky, Paul	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1776751	Jr	6	0	6				0	3		1	0.333				3	6																		
2016	12380	4	Adrian	26	1776750	Caldwell, Morgan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1776750	Fr	6	3	6	3	1		1	5	0.200	3	0.600				3	7	1																	
2016	12380	4	Adrian	45	1656304	Dugan, Peter	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1656304	So	6	1	6	1			0								3		1						5	1	5,738	28	17.567	23	0.451					
2016	12380	4	Adrian	18	1781756	Bordeaux, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1781756	Jr	6	2	6	2			0								4	4					2	60												
2016	12380	4	Adrian	9	1781759	Hohl, Gerin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1781759	So	2	0	2				0																											
2016	12380	4	Adrian	11	1781757	Duncan, Joel	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1781757	Sr	2	2	2	2			0	1								1																		
2016	12380	4	Adrian	8	1776747	Yobaggy, Jonathon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1776747	Jr	1	0	1				0									1																		
2016	12380	2798	Albertus Magnus	19	1755763	Moore, Brennan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1755763	So	14	14	14	14	29	20	49	109	0.266	66	0.606	1	3	1	22	46	5				8	420												
2016	12380	2798	Albertus Magnus	11	1552447	Bennet, Justin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1552447	Jr	14	14	14	14	31	13	44	93	0.333	58	0.624	2	1		120	57	12	146	273	0.535	5	240												
2016	12380	2798	Albertus Magnus	17	1552459	Buck, Greg	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1552459	Jr	14	14	14	14	38	10	48	109	0.349	81	0.743	1	4		32	32	8				3	150												
2016	12380	2798	Albertus Magnus	99	1552460	Earl, Adam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1552460	Sr	14	14	14	14	4	11	15	16	0.250	10	0.625				71	37	40				18	1,080												
2016	12380	2798	Albertus Magnus	21	1552461	Gravius, Jon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1552461	Jr	14	14	14	14	1		1	1	1.000	1	1.000		1		35	14	20				3	180												
2016	12380	2798	Albertus Magnus	14	1755762	Gillen, Thomas	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1755762	So	14	1	14	1	7	6	13	49	0.143	32	0.653		2		13	33	1	23	86	0.267	2	120												
2016	12380	2798	Albertus Magnus	3	1755761	Moscato, Dom	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1755761	Fr	14	13	14	13	1	1	2	2	0.500	2	1.000		1		30	18	16				3	150												
2016	12380	2798	Albertus Magnus	2	1665249	Mirmina, Paul	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1665249	So	14	13	14	13	19	14	33	53	0.358	34	0.642		3		35	32	11				2	90												
2016	12380	2798	Albertus Magnus	1	1665247	Kerner, Jack	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1665247	So	14	13	14	13			0								29	13	5						13	13	40,106	151	13.554	184	0.549					
2016	12380	2798	Albertus Magnus	43	1552467	Croteau, Pat	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1552467	Jr	14	14	14	14			0								18	13	9				4	240												
2016	12380	2798	Albertus Magnus	6	1552452	Mueller, Matthew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1552452	Jr	13	13	13	13		4	4	10		5	0.500				52	27	24				7	330												
2016	12380	2798	Albertus Magnus	23	1552463	Dombrowski, Paul	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1552463	Sr	13	1	13	1	1	2	3	4	0.250	4	1.000				15	11	4																	
2016	12380	2798	Albertus Magnus	25	1755765	Brunetti, John	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1755765	Fr	11	1	11	1			0								5	4							11	1	10,294	36	12.590	54	0.600					
2016	12380	2798	Albertus Magnus	9	1552455	Jean-Francois, Castel	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1552455	Sr	8	1	8	1			0								2	1	2				2	90												
2016	12380	15	Albion	32	1638212	DeCamp, Kyle	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1638212	So	17	11	17	11	6	7	13	12	0.500	9	0.750				206	27	3	310	436	0.711	3	150												
2016	12380	15	Albion	18	1417158	Neal, Dylan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1417158	Sr	17	6	17	6	29	27	56	120	0.242	60	0.500	1	9		25	25	8				12	600												
2016	12380	15	Albion	20	1638208	Palmer, Harrison	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1638208	So	17	12	17	12	14	6	20	58	0.241	32	0.552	1			28	17	2				5	180												
2016	12380	15	Albion	40	1417167	Braun, Cameron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1417167	Sr	17	16	17	16	55	13	68	119	0.462	89	0.748	3	9		24	21	5				6	270												
2016	12380	15	Albion	1	1417153	Dimaggio, Nicholas	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1417153	Sr	17	1	17	1			0	1		1	1.000				19	13	12	7	12	0.583	3	90												
2016	12380	15	Albion	7	1638201	Lowes, Matt	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1638201	So	17	16	17	16			0	4		3	0.750				33	6	15				10	510												
2016	12380	15	Albion	21	1761606	DiRado, David	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1761606	Fr	17	16	17	16	31	29	60	108	0.287	63	0.583	2	6		20	38	1				5	270												
2016	12380	15	Albion	11	1638204	Lebioda, Brandon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1638204	So	17	4	17	4	10	8	18	53	0.189	29	0.547				49	24	9				5	360												
2016	12380	15	Albion	4	1533753	Hubbell, Zach	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1533753	Jr	17	4	17	4	29	8	37	109	0.266	57	0.523	2	10		21	22					2	90												
2016	12380	15	Albion	2	1761600	Reeves, Antonio	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1761600	Fr	16	1	16	1		1	1	1							19	8	8				7	300												
2016	12380	15	Albion	14	1761603	Lewis, Paul	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1761603	Fr	16	0	16		9	4	13	39	0.231	19	0.487				14	8	2				2	90												
2016	12380	15	Albion	19	1761605	Griffiths, Brian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1761605	Fr	16	12	16	12		1	1								14	7	4				6	360												
2016	12380	15	Albion	17	1638207	Brown, Dave	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1638207	So	16	15	16	15			0								22	5	15				17	930												
2016	12380	15	Albion	6	1533754	Johnson, Paul	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1533754	Jr	16	9	16	9			0								19	4	10				7	270												
2016	12380	15	Albion	22	1533757	Hamper, Dominic	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1533757	Jr	16	15	16	15	26	21	47	56	0.464	42	0.750	3	1		26	22	6																	
2016	12380	15	Albion	23	1761607	Costigan, Jack	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1761607	Fr	14	0	14		5	3	8	24	0.208	12	0.500				10	16	2	1	1	1.000	1	30												
2016	12380	15	Albion	10	1638203	Hermes, Charlie	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1638203	So	13	1	13	1	1	6	7	9	0.111	4	0.444				2	2																		
2016	12380	15	Albion	3	1638200	Cooke, John	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1638200	So	12	0	12		14	4	18	38	0.368	23	0.605	1			12	15	5				1	60												
2016	12380	15	Albion	27	1417162	Bogus, Brad	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1417162	Sr	12	11	12	11			0								20	12					2	180	12	9	42,331	91	7.739	122	0.573					
2016	12380	15	Albion	37	1761611	Kinney, Zach	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1761611	Fr	11	0	11		4		4	10	0.400	5	0.500		4		1		1				2	90												
2016	12380	15	Albion	31	1761610	Jarvis, Adam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1761610	Fr	8	4	8	4			0	1		1	1.000				9	2	3				1	60												
2016	12380	15	Albion	30	1761609	Davis, Cody	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1761609	Fr	6	0	6				0								6		2																	
2016	12380	15	Albion	26	1417161	Hempfling, Jordan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1417161	Sr	6	4	6	4			0								6	1							6	3	10,093	41	14.624	30	0.423					
2016	12380	15	Albion	25	1761608	Hantz, Eric	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1761608	Fr	6	0	6		1		1	5	0.200	2	0.400				4	5	1																	
2016	12380	15	Albion	5	1761601	Copley, Luke	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1761601	Fr	6	0	6				0									3																		
2016	12380	15	Albion	42	1761612	Bilello, John	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1761612	Fr	5	0	5			1	1	4		2	0.500				2	2	2				1	60												
2016	12380	15	Albion	39	1638213	Harm, Drew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1638213	So	5	0	5		1		1	2	0.500	2	1.000				4	2																		
2016	12380	15	Albion	15	1638206	Tata, Brandon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1638206	So	5	2	5	2			0								3	2							5	1	9,012	35	13.981	18	0.340					
2016	12380	15	Albion	9	1638202	McCann, Aaron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1638202	So	4	0	4		1		1	5	0.200	1	0.200					2	1																	
2016	12380	15	Albion	16	1761604	Colborn, Will	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1761604	Fr	2	0	2				0								1																			
2016	12380	15	Albion	28	1647186	Andreski, Evan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1647186	Sr	2	0	2				0														2	90												
2016	12380	16	Albright	1	1552753	Strayline, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1552753	Jr	17	15	17	15	26		26	59	0.441	42	0.712	2	4		13	25	1				1	60												
2016	12380	16	Albright	5	1662776	Tonno, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1662776	So	17	4	17	4	16		16	33	0.485	23	0.697				13	10	4				6	270												
2016	12380	16	Albright	4	1440274	Egleston, James	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1440274	Sr	17	1	17	1	18	7	25	73	0.247	36	0.493		4		12	17	4				2	120												
2016	12380	16	Albright	24	1440281	Pastore, Kenny	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1440281	Sr	17	16	17	16	1	1	2	3	0.333	2	0.667			1	25	7	11				12	630												
2016	12380	16	Albright	30	1662765	Aler, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1662765	So	17	17	17	17			0	1							21	9	3						17	17	57,297	175	10.995	191	0.522					
2016	12380	16	Albright	36	1552758	Kaufmann, Alex	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1552758	Jr	17	2	17	2			0								12	9	4				7	360												
2016	12380	16	Albright	22	1552033	Stump, Derek	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1552033	Jr	17	0	17		9	35	44	48	0.188	17	0.354				19	21	2				3	120												
2016	12380	16	Albright	21	1552034	Potter, Andrew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1552034	Jr	17	0	17		25	8	33	84	0.298	42	0.500		1		19	17	3	5	11	0.455	4	210												
2016	12380	16	Albright	10	1552035	Zehr, Jordan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1552035	Jr	17	5	17	5	6	13	19	44	0.136	21	0.477		1		12	17	5				2	90												
2016	12380	16	Albright	92	1552036	Cetrone, Cam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1552036	Jr	17	15	17	15	51	20	71	137	0.372	84	0.613	4	8	1	44	23	13				4	240												
2016	12380	16	Albright	55	1552748	Read, Austin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1552748	Jr	17	14	17	14	2		2	2	1.000	2	1.000		1		26	9	12				5	300												
2016	12380	16	Albright	6	1767034	Howell, Ethan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1767034	Fr	16	15	16	15	2	7	9	16	0.125	5	0.312				40	10	13				3	150												
2016	12380	16	Albright	28	1440283	Wighard, Matt	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1440283	Sr	15	14	15	14	1	2	3	4	0.250	2	0.500	1			29	9	10				11	570												
2016	12380	16	Albright	8	1552759	Higgins, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1552759	Jr	15	0	15			1	1	3		2	0.667				15	2	8				3	180												
2016	12380	16	Albright	43	1662766	Boliaux, JJ	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1662766	So	14	3	14	3		1	1	1							22	8	1	44	102	0.431	2	60												
2016	12380	16	Albright	88	1552752	Jones, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1552752	Jr	14	1	14	1		1	1	2		2	1.000				16	3	6				3	150												
2016	12380	16	Albright	34	1662774	Mayer, Christian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1662774	Jr	13	7	13	7		1	1	1		1	1.000				22	2	8				2	90												
2016	12380	16	Albright	9	1767035	DiPasquale, AJ	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1767035	Fr	13	0	13				0	8		3	0.375				6	8	1																	
2016	12380	16	Albright	99	1662773	Lettieri, James	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1662773	So	13	12	13	12	1	1	2	5	0.200	3	0.600				47	3	1	133	268	0.496	2	60												
2016	12380	16	Albright	33	1767058	Rhoads, Nate	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1767058	Sr	12	8	12	8	9	4	13	24	0.375	17	0.708		1		6	18																		
2016	12380	16	Albright	2	1662777	Werner, Christian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1662777	So	11	5	11	5			0								8	3	4																	
2016	12380	16	Albright	23	1767038	Laychak, Marcus	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1767038	Fr	7	2	7	2	1		1	1	1.000	1	1.000				4	1	1				2	120												
2016	12380	16	Albright	41	1662767	Brasher, Matt	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1662767	Sr	6	1	6	1	3		3	15	0.200	5	0.333				1	6	1				1	60												
2016	12380	16	Albright	25	1767039	MacNair, James	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1767039	Fr	6	0	6				0								4	1	2																	
2016	12380	16	Albright	31	1440284	Lomady, Matthew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1440284	Sr	5	0	5		2	2	4	13	0.154	5	0.385				3	1					1	120												
2016	12380	16	Albright	15	1767036	Scafidi, Conor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1767036	Fr	5	0	5				0								1	1							4		3,903	5	4.612	10	0.667					
2016	12380	16	Albright	12	1662775	Ringgold, Gerald	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1662775	So	5	2	5	2			0	1		1	1.000				7	4	3	2	10	0.200	1	30												
2016	12380	16	Albright	17	1552754	Keleher, TJ	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1552754	Jr	4	2	4	2			0								3	2	4				2	120												
2016	12380	16	Albright	83	1552751	Townsend, Brandon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1552751	Jr	4	0	4				0								1																			
2016	12380	16	Albright	20	1767037	Goodman, Eliot	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1767037	Fr	3	0	3				0																											
2016	12380	16	Albright	18	1662770	Eber, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1662770	Sr	2	0	2				0	1							1																			
2016	12380	16	Albright	48	1767040	Werner, Chad	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1767040	Fr	2	0	2				0																											
2016	12380	18	Alfred	40	1776941	Fornataro, Joe	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1776941	N/A	16	12	16	12	48	9	57	115	0.417	80	0.696	4			23	31	11				6	210												
2016	12380	18	Alfred	12	1776934	McMichael, Brett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1776934	N/A	16	3	16	3	5	6	11	23	0.217	17	0.739		2		19	10	3																	
2016	12380	18	Alfred	6	1776932	Diesenroth, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1776932	N/A	16	15	16	15	1	1	2	4	0.250	4	1.000				46	10	13				1	30												
2016	12380	18	Alfred	26	1648704	Lynch, Jake	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1648704	So	16	15	16	15	58	15	73	158	0.367	117	0.741	3	12		21	31	5				9	390												
2016	12380	18	Alfred	45	1555349	Winchell, John	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1555349	Jr	16	14	16	14	20	31	51	52	0.385	29	0.558		1		28	18	13																	
2016	12380	18	Alfred	8	1555343	Pratti, Jimmy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1555343	Jr	16	15	16	15	2	2	4	3	0.667	3	1.000	1			98	9	2	195	354	0.551	6	270												
2016	12380	18	Alfred	27	1443217	Wilson, Max	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1443217	Sr	16	15	16	15			0	1		1	1.000				39	10	27				5	300												
2016	12380	18	Alfred	35	1648722	Sturdevant, Donny	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1648722	So	15	1	15	1	3	5	8	14	0.214	9	0.643				6	11	1				1	30												
2016	12380	18	Alfred	33	1443218	Jessop, Nolan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1443218	Sr	15	15	15	15	5		5	14	0.357	8	0.571				32	7	15				4	210												
2016	12380	18	Alfred	20	1648703	Gardner, Drew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1648703	So	15	14	15	14		2	2								13	11	2						15	14	40,477	112	9.961	134	0.545					
2016	12380	18	Alfred	32	1555347	Skibitsky, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1555347	Jr	15	0	15		20	10	30	80	0.250	39	0.487	1	6	1	20	10	7				1	30												
2016	12380	18	Alfred	4	1648697	LaSpina, David	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1648697	So	15	0	15		1	2	3	4	0.250	4	1.000				24	2	2	32	62	0.516	2	90												
2016	12380	18	Alfred	25	1443216	Byrne, Patrick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1443216	Sr	15	0	15			4	4	3		2	0.667				18	13	8																	
2016	12380	18	Alfred	21	1555460	Kwietniewski, Eric	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1555460	Jr	15	5	15	5			0								12		6																	
2016	12380	18	Alfred	14	1648695	Alawi, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1648695	So	15	4	15	4			0	1							24	7	7				3	180												
2016	12380	18	Alfred	3	1555341	Bishopp, Derek	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1555341	Jr	15	0	15		23	11	34	83	0.277	60	0.723	1	3		25	17	5	3	6	0.500	2	120												
2016	12380	18	Alfred	2	1555340	DuPree, Patrick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1555340	Jr	14	11	14	11			0								12	1	8	1	1	1.000	5	240												
2016	12380	18	Alfred	24	1776938	Gavigan, Frank	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1776938	N/A	14	0	14		1		1	1	1.000	1	1.000				15	3	5																	
2016	12380	18	Alfred	17	1648700	DiRisio, Sam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1648700	So	13	0	13		3	1	4	10	0.300	7	0.700				3	1					1	30												
2016	12380	18	Alfred	1	1776931	Esmenger, Rob	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1776931	N/A	13	1	13	1	6	3	9	15	0.400	9	0.600	1		1	2	9	1																	
2016	12380	18	Alfred	20	1776936	Ricottilli, Anthony	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1776936	N/A	12	0	12		2		2	8	0.250	5	0.625				3	4	1				1	30												
2016	12380	18	Alfred	7	1443208	Morse, Tanner	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1443208	Sr	12	0	12		16	9	25	52	0.308	31	0.596		1		17	15	5				3	150												
2016	12380	18	Alfred	28	1555346	Denis, Keenan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1555346	Jr	11	0	11		2		2	9	0.222	3	0.333				5	6	1																	
2016	12380	18	Alfred	31	1776940	Smith, Brandon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1776940	N/A	11	0	11				0								4	3							9		9,446	32	12.196	23	0.418					
2016	12380	18	Alfred	34	1555348	Bellis, Nate	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1555348	Jr	10	9	10	9			0								13	5	14				3	120												
