year	year_id	team_id	team_name	position	player_id	player_name	player_url	class_year	gp	gs	g	gs2	goals	assists	points	shots	shot_pct	sog	sog_pct	gwg	man-up_g	man-down_g	gb	to	ct	fo_won	fos_taken	fo_pct	pen	pen_time	ggp	ggs	g_min	goals_allowed	gaa	saves	save_pct	rc	yc	clears	att	clear_pct
2015	12121	3	Adelphi	12	1666519	Cunningham, Gerard	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1666519	N/A	2	0	2				0	1							1																			
2015	12121	3	Adelphi	43	1663635	Pandolfi, Matt	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1663635	N/A	1	0	1				0								1																			
2015	12121	934	Alderson Broaddus	22	1537743	Ravenell, Joseph	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1537743	Jr	13	3	13	3	14	4	18	53	0.264	29	0.547	1	4		19	32	4				5	210												
2015	12121	934	Alderson Broaddus	11	1426746	Fleckenstein, Jacob	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1426746	Jr	13	12	13	12											20	2	14				5	270												
2015	12121	934	Alderson Broaddus	41	1426762	Jakell, Josh	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1426762	Jr	13	12	13	12	1	3	4	8	0.125	5	0.625				74	14		139	278	0.500	5	210												
2015	12121	934	Alderson Broaddus	0	1537736	Abrams, Connar	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1537736	So	13	5	13	5	8	13	21	49	0.163	27	0.551		2		15	24	6				4	150												
2015	12121	934	Alderson Broaddus	3	1537741	Kuhn, Joeseph	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1537741	So	13	9	13	9	4	2	6	11	0.364	7	0.636				5	13	1				2	60												
2015	12121	934	Alderson Broaddus	27	1537742	Lipar, Steven	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1537742	So	13	7	13	7				1							18	5	8				4	300												
2015	12121	934	Alderson Broaddus	37	1537745	Williams, Nicholas	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1537745	So	13	6	13	6	23	5	28	70	0.329	47	0.671		1		11	36	5				5	270												
2015	12121	934	Alderson Broaddus	4	1666379	Moriarty, Dom	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1666379	N/A	13	12	13	12				3							33	27	6				1	30	13	7	42,433	162	13.744	143	0.469					
2015	12121	934	Alderson Broaddus	5	1666380	Worley, Jesse	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1666380	N/A	13	10	13	10	16	6	22	48	0.333	29	0.604		9		57	19	23				11	630												
2015	12121	934	Alderson Broaddus	12	1666382	Cross, Evens	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1666382	N/A	13	1	13	1		1		5		2	0.400				9	9	4				1	60												
2015	12121	934	Alderson Broaddus	21	1666383	Jurvelin, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1666383	N/A	13	2	13	2	2	16	18	20	0.100	11	0.550		1		6	12																		
2015	12121	934	Alderson Broaddus	77	1666385	Look, Jordan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1666385	N/A	13	10	13	10	19	7	26	64	0.297	40	0.625	2	5	1	10	19	2				6	240												
2015	12121	934	Alderson Broaddus	30	1426761	D'Auria, Anthony	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1426761	Jr	12	0	12					4		4	1.000				10	10	2				4	240												
2015	12121	934	Alderson Broaddus	2	1426737	Richardson, Shannon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1426737	Jr	12	1	12	1		1		5		2	0.400				9	6	6				1	30												
2015	12121	934	Alderson Broaddus	45	1426763	Gallagher, Danny	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1426763	Jr	12	5	12	5	1			1	1.000	1	1.000				9	1	6				1	120												
2015	12121	934	Alderson Broaddus	8	1666381	Morgan, Devaunte	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1666381	N/A	12	11	12	11											4	1	2				12	660												
2015	12121	934	Alderson Broaddus	26	1537739	Hicks, Joel	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1537739	So	11	7	11	7	3	1	4	12	0.250	9	0.750				19	11	6	2	9	0.222	6	240												
2015	12121	934	Alderson Broaddus	44	1537746	Yonge, Keir	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1537746	So	10	6	10	6	15	4	19	50	0.300	32	0.640	1			9	28																		
2015	12121	934	Alderson Broaddus	9	1537744	Sager, Isaiah	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1537744	Jr	9	0	9												2	1		6	31	0.194														
2015	12121	934	Alderson Broaddus	24	1666384	Pukki, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1666384	N/A	6	1	6	1											2	3	1																	
2015	12121	934	Alderson Broaddus	31	1670483	Chadwell, Hayden	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12121&stats_player_seq=1670483	N/A	5	0	5					2		1	0.500				3	2	1				1	30												
