year	year_id	team_id	team_name	position	player_name	class_year	gp	gs	g	gs2	goals	assists	points	shots	shot_pct	sog	sog_pct	gwg	man-up_g	man-down_g	gb	to	ct	fo_won	fos_taken	fo_pct	pen	pen_time	ggp	ggs	g_min	goals_allowed	gaa	saves	save_pct	rc	yc	clears	att	clear_pct
2015	12121	80	Brown	-	Totals	-	-	-	17		237	139	376	808	0.293	463	0.573	12	22	3	657	279	160	277	472	0.587	66	3,090			61,379	177	10.381	203	0.534			321	369	0.870
2015	12121	80	Brown	-	Opponent Totals	-	-	-	17		177	97	274	668	0.265	380	0.569	5	19		516	299	132	195	472	0.413	52	2,490			61,379	237	13.901	226	0.488			322	395	0.815
2015	12121	81	Bryant	-	TEAM	-	-	-	12				0									17																		
2015	12121	81	Bryant	-	Totals	-	-	-	18		149	86	235	554	0.269	315	0.569	8	14	2	551	289	102	242	361	0.670	48	2,400			64,920	148	8.207	202	0.577			236	303	0.779
2015	12121	81	Bryant	-	Opponent Totals	-	-	-	18		148	80	228	613	0.241	350	0.571	10	19	1	438	201	135	119	361	0.330	59	2,730			64,920	149	8.262	166	0.527			279	321	0.869
2015	12121	83	Bucknell	-	TEAM	-	-	-	8													15																		
2015	12121	83	Bucknell	-	Totals	-	-	-	15		144	67	211	519	0.277	305	0.588	9	12	1	399	187	110	149	346	0.431	61	2,880			54,381	149	9.864	147	0.497			233	280	0.832
2015	12121	83	Bucknell	-	Opponent Totals	-	-	-	15		149	105	254	464	0.321	296	0.638	6	24	1	423	224	93	197	346	0.569	39	1,890			54,381	144	9.533	161	0.528			182	235	0.774
2015	12121	116	Canisius	-	TEAM	-	-	-	9													7	2				3	90												
2015	12121	116	Canisius	-	Totals	-	-	-	15		118	62	180	489	0.241	277	0.566	3	17		379	218	95	152	336	0.452	40	1,890			54,043	165	10.991	152	0.479			193	235	0.821
2015	12121	116	Canisius	-	Opponent Totals	-	-	-	15		165	92	257	559	0.295	317	0.567	12	18		409	187	117	184	336	0.548	51	2,550			54,043	118	7.860	159	0.574			215	247	0.870
2015	12121	153	Colgate	-	TEAM	-	-	-	9				0									10	1																	
2015	12121	153	Colgate	-	Totals	-	-	-	16		169	97	266	479	0.353	304	0.635	10	28	1	411	198	99	142	376	0.378	47	2,220			57,776	150	9.346	156	0.510			232	276	0.841
2015	12121	153	Colgate	-	Opponent Totals	-	-	-	16		150	86	236	581	0.258	306	0.527	6	13	1	471	228	88	234	376	0.622	56	2,880			57,776	169	10.530	135	0.444			192	240	0.800
2015	12121	167	Cornell	-	TEAM	-	-	-	7													6					1	30												
2015	12121	167	Cornell	-	Totals	-	-	-	16		184	90	274	699	0.263	406	0.581	10	21	1	573	232	116	260	396	0.657	63	3,030			58,356	159	9.809	145	0.477			212	255	0.831
2015	12121	167	Cornell	-	Opponent Totals	-	-	-	16		159	98	257	514	0.309	304	0.591	6	21	1	416	231	119	136	396	0.343	55	2,820			58,356	184	11.351	222	0.547			249	309	0.806
2015	12121	172	Dartmouth	-	TEAM	-	-	-	10													11	1																	
2015	12121	172	Dartmouth	-	Totals	-	-	-	13		114	64	178	412	0.277	237	0.575	5	13		414	244	115	178	320	0.556	50	2,460			47,259	161	12.264	132	0.451			192	241	0.797
2015	12121	172	Dartmouth	-	Opponent Totals	-	-	-	13		161	89	250	502	0.321	293	0.584	8	14		373	216	125	142	320	0.444	46	2,310			47,259	114	8.684	123	0.519			204	247	0.826
2015	12121	180	Delaware	-	TEAM	-	-	-	13													9																		
2015	12121	180	Delaware	-	Totals	-	-	-	15		136	75	211	478	0.285	279	0.584	5	16		394	206	91	160	346	0.462	55	2,640			54,417	160	10.585	173	0.520			187	226	0.827
2015	12121	180	Delaware	-	Opponent Totals	-	-	-	15		160	86	246	589	0.272	333	0.565	10	17		448	173	108	186	346	0.538	58	2,820			54,417	136	8.997	143	0.513			189	224	0.844
2015	12121	183	Denver	-	TEAM	-	-	-	12												1	17					3	180	1		2	1	1,800.000							
2015	12121	183	Denver	-	Totals	-	-	-	19		261	156	417	731	0.357	467	0.639	17	38	2	573	221	100	320	481	0.665	53	2,790			68,559	161	8.454	190	0.541			237	277	0.856
2015	12121	183	Denver	-	Opponent Totals	-	-	-	19		161	99	260	624	0.258	351	0.562	2	21		405	191	99	161	481	0.335	65	3,360			68,559	261	13.705	206	0.441			221	255	0.867
2015	12121	184	Detroit Mercy	-	TEAM	-	-	-	5													7	2				3	90	1			0		1	1.000					
2015	12121	184	Detroit Mercy	-	Totals	-	-	-	14		139	73	212	486	0.286	304	0.626	8	23	1	395	219	102	148	331	0.447	56	2,700			50,515	143	10.191	212	0.597			226	256	0.883
2015	12121	184	Detroit Mercy	-	Opponent Totals	-	-	-	14		143	85	228	576	0.248	355	0.616	6	20		429	200	114	183	331	0.553	56	2,970			50,515	139	9.906	165	0.543			225	264	0.852
2015	12121	191	Drexel	-	TEAM	-	-	-	7												1	16	2																	
2015	12121	191	Drexel	-	Totals	-	-	-	15		130	72	202	577	0.225	306	0.530	7	16		416	210	95	177	328	0.540	64	3,210			54,101	147	9.782	142	0.491			217	248	0.875
2015	12121	191	Drexel	-	Opponent Totals	-	-	-	15		147	78	225	526	0.279	289	0.549	8	19		401	204	85	151	328	0.460	48	2,370			54,101	130	8.650	176	0.575			232	260	0.892
2015	12121	193	Duke	-	TEAM	-	-	-	12													10					4	120												
2015	12121	193	Duke	-	Totals	-	-	-	18		257	146	403	797	0.322	501	0.629	12	21	1	666	266	119	296	527	0.562	62	2,640			64,800	208	11.556	198	0.488			275	314	0.876
2015	12121	193	Duke	-	Opponent Totals	-	-	-	18		208	116	324	670	0.310	406	0.606	6	25		507	272	122	231	527	0.438	58	2,700			64,800	257	14.278	244	0.487			284	324	0.877
2015	12121	220	Fairfield	-	TEAM	-	-	-	10													10																		
